,index,max_mean,max_std,min_mean,min_std
0,T,18021.087890625,210.70481872558594,1811.0025634765625,205.6996612548828
1,Rho,9.529742783342954e-06,1.886290021957393e-07,1.6379470002547691e-10,1.3240335217101773e-10
2,Bxx,1644.796875,631.2046508789062,-2375.79736328125,956.3129272460938
3,Byy,2647.557373046875,1089.3970947265625,-2784.299560546875,1245.8983154296875
4,Bzz,1963.74365234375,787.6018676757812,-1970.474853515625,773.6466674804688
5,Vxx,3.254687786102295,0.43673446774482727,-3.2476868629455566,0.3958699703216553
6,Vyy,2.5963363647460938,0.44078493118286133,-6.251667499542236,0.7485214471817017
7,Vzz,3.3136284351348877,0.44896048307418823,-3.3245177268981934,0.5103737711906433
