mbyy,mvyy,mrho,mtpr,iout,stokes
-1147.2189,-1694623.5,-10.789204,1176.3861,1.0,-21291713077852.95
1179.682,1357621.6,-5.0033717,18043.08,46396027000.0,464522978679608.0
